Code,Gender,Gender_Coded,Age,User_Language,Belonging1,Belonging2,Belonging3,Belonging4,Belonging5,Belonging6,Belonging7,Belonging8,Belonging9,Belonging10,Belonging11,Belonging12,Belonging13,Belonging14,Belonging15,Belonging16,Belonging17,Belonging18,Belonging19,Belonging20,TotalBelonging,AverageBelonging
US412F,Female,2,28,English,1,3,1,3,2,2,2,2,3,5,5,4,4,4,5,3,3,5,3,4,64,3.2
US97A,Female,2,55,English,4,5,4,5,4,4,5,5,4,5,3,5,4,5,4,4,3,2,2,4,81,4.05
UW107A,Female,2,58,English,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,2,4,5,5,93,4.65
UX814Y,Female,2,43,English,5,5,5,5,4,4,4,4,4,5,1,5,5,5,4,5,1,4,5,5,85,4.25
UZ 510A,Male,1,48,Faroese,3,4,2,4,2,3,3,2,2,3,1,2,2,3,3,2,3,2,3,4,53,2.65
"UZ,18,10,C",Female,2,76,English,3,3,1,3,3,4,3,4,3,1,1,3,1,4,2,1,3,3,1,1,48,2.4
UZ1,Female,2,20,English,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,99,4.95
UZ1,Female,2,22,English,2,5,5,5,3,4,4,5,4,5,3,4,4,5,5,4,3,4,4,4,82,4.1
UZ1,Female,2,26,English,4,4,4,4,4,4,4,2,4,3,2,4,4,2,4,4,4,3,4,4,72,3.6
UZ10,Female,2,23,English,4,4,4,5,2,2,4,5,4,3,5,3,4,4,4,4,5,1,4,5,76,3.8
UZ10,Female,2,25,English,4,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,1,4,4,5,91,4.55
UZ10,Female,2,32,English,4,4,4,5,4,4,3,5,3,5,4,4,2,5,5,4,5,2,4,5,81,4.05
UZ10,Female,2,34,English,4,4,3,3,2,3,4,4,4,3,1,3,3,3,3,3,3,2,3,3,61,3.05
uz10,Female,2,36,ENGLISH,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,80,4
UZ10,Female,2,37,English,5,5,4,4,4,5,4,4,4,5,2,5,5,4,2,4,4,2,5,4,81,4.05
uz10,Female,2,40,eng,5,4,4,4,4,5,4,5,5,4,5,5,4,5,5,5,5,3,4,4,89,4.45
